Participant,Gender,Background,Position,Lecturer,Grade,GradeNumerical
1,Female,More dry lab,PostDoc,Lecturer_6,Good,2
2,Male,More dry lab,MSc,Lecturer_6,Below average,4
3,Male,More dry lab,MSc,Lecturer_6,Good,2
4,Male,More dry lab,PostDoc,Lecturer_6,Good,2
5,Male,More dry lab,MSc,Lecturer_6,Below average,4
6,Female,More dry lab,MSc,Lecturer_6,Excellent,1
7,Male,More dry lab,PhD,Lecturer_6,Good,2
8,Male,More dry lab,MSc,Lecturer_6,Average,3
9,Female,More dry lab,MSc,Lecturer_6,Average,3
10,Female,More wet lab,MSc,Lecturer_6,Average,3
11,Female,More dry lab,MSc,Lecturer_6,Good,2
12,Female,More wet lab,PhD,Lecturer_6,Good,2
13,Male,More wet lab,MSc,Lecturer_6,Average,3
14,Male,More wet lab,PhD,Lecturer_6,Below average,4
15,Male,More wet lab,MSc,Lecturer_6,Excellent,1
16,Female,More dry lab,MSc,Lecturer_6,Good,2
17,Male,More wet lab,PostDoc,Lecturer_6,Below average,4
18,Male,More dry lab,PhD,Lecturer_6,Good,2
19,Male,More dry lab,Industry specialist,Lecturer_6,Good,2
20,Female,More wet lab,PhD,Lecturer_6,Average,3
21,Male,More dry lab,MSc,Lecturer_6,Excellent,1
22,Female,More dry lab,PhD,Lecturer_6,Good,2
23,Female,More dry lab,MSc,Lecturer_6,Excellent,1
24,Female,More dry lab,PhD,Lecturer_6,Good,2
25,Male,More wet lab,MSc,Lecturer_6,Good,2
26,Female,More dry lab,PhD,Lecturer_6,Good,2
27,Male,More wet lab,PhD,Lecturer_6,Below average,4
28,Male,More dry lab,MSc,Lecturer_6,Excellent,1
1,Female,More dry lab,PostDoc,Lecturer_2,Excellent,1
2,Male,More dry lab,MSc,Lecturer_2,Excellent,1
3,Male,More dry lab,MSc,Lecturer_2,Average,3
4,Male,More dry lab,PostDoc,Lecturer_2,Excellent,1
5,Male,More dry lab,MSc,Lecturer_2,Excellent,1
6,Female,More dry lab,MSc,Lecturer_2,Excellent,1
7,Male,More dry lab,PhD,Lecturer_2,Good,2
8,Male,More dry lab,MSc,Lecturer_2,Excellent,1
9,Female,More dry lab,MSc,Lecturer_2,Excellent,1
10,Female,More wet lab,MSc,Lecturer_2,Good,2
11,Female,More dry lab,MSc,Lecturer_2,Excellent,1
12,Female,More wet lab,PhD,Lecturer_2,Good,2
13,Male,More wet lab,MSc,Lecturer_2,Good,2
14,Male,More wet lab,PhD,Lecturer_2,Good,2
15,Male,More wet lab,MSc,Lecturer_2,Excellent,1
16,Female,More dry lab,MSc,Lecturer_2,Excellent,1
17,Male,More wet lab,PostDoc,Lecturer_2,Good,2
18,Male,More dry lab,PhD,Lecturer_2,Good,2
20,Female,More wet lab,PhD,Lecturer_2,Excellent,1
21,Male,More dry lab,MSc,Lecturer_2,Good,2
22,Female,More dry lab,PhD,Lecturer_2,Excellent,1
23,Female,More dry lab,MSc,Lecturer_2,Excellent,1
24,Female,More dry lab,PhD,Lecturer_2,Average,3
